Id,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,UTILIZATION
53a17430-bbb3-4c12-bf40-431a79de2764,HEALTHALLIANCE HOSPITALS  INC,60 HOSPITAL ROAD,LEOMINSTER,MA,1453,9784662000,3585
b59e8b09-1421-43b6-badc-9bb317f744c1,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,6174923500,4711
0dda7391-f13e-4081-9177-14e2deaa0885,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,5082225200,7141
07ffa70e-326a-4f88-a6b0-4f3009e4171a,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,9786834000,5455
26c6423a-1f26-4aef-9d69-fa9aa0cf7737,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,6176652300,4715
a21d7046-0e22-4e7e-ab34-3c3b41489bdf,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,2601,5087711800,2414
1b75d767-7b39-415d-b342-e4748450dba4,COOLEY DICKINSON HOSPITAL INC THE,30 LOCUST STREET,NORTHAMPTON,MA,1060,4135822000,2963
d9e0f390-7b8c-4d92-94dc-e0a466de2c00,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,4137730211,1331
3be18016-4a7b-4cab-96d7-b3b183d916d0,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,6175062000,2515
bc5532fb-686d-44f7-9ee2-3356919077b1,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,5087659771,3290
c85ab1e2-3edf-4118-8b1a-0b328944a88a,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,5086745600,5954
1265170e-ba25-4d8e-9886-bd180459f906,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,1040,4135342500,5226
5c29f1ab-29c7-4e16-b57b-fe74b025733a,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,1950,9784631000,792
1ab98bd2-26f8-41cb-b4fe-6357582a549a,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT STREET,PALMER,MA,1069,4132837651,7815
b6ecf772-b67b-4f4c-8a59-d753d3c871e0,BOSTON MEDICAL CENTER CORPORATION-,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,2118,6176388000,2070
f570234c-71c3-4a06-8bb4-5235e4fc095d,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,1915,9789223000,3416
e0d9fa36-b43e-4f94-a24d-6cefe9f46cd7,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,1970,9787411215,10819
290a4c4c-971a-4aea-bb40-240685f8eccc,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,2135,6177893000,2706
c2b07c19-c522-4ec3-9d31-60fbb25f7e65,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH STREET,PITTSFIELD,MA,1201,4134472000,4924
18193f47-e620-4fe2-9ad9-3fd660003895,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,1752,5084815000,4324
76ebe745-4e3b-4f3d-9752-c5057b3d3606,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,2302,5089417000,6526
